lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05,"[0.01, 0, 0] C-7","[0.003, 0, 0] C-8","[0.001, 0, 0] C-9","[0.0003, 0, 0] C-10","[0.0001, 0, 0] C-11","[3e-05, 0, 0] C-12"
32357.11126798392,10700.379230439665,8742.000721037388,13962.75699687004,22790.5618891716,39240.3272857666,13864.694732666016,1120.7308731079102,534.3688316345215,392.68778228759766,340.5882225036621,321.50720977783203
5992.127431303263,3576.393143087625,2715.3374076113105,3546.1592279076576,6329.496861696243,15588.979985237122,,,,,,
5348.422149538994,2809.8905881587416,1774.5731133371592,2467.5554469525814,4227.049789369106,10105.567638874054,,,,,,
5707.903544872999,2535.074256233871,1411.2183115873486,1794.0101721137762,3305.7501101493835,7516.629415988922,,,,,,
5984.715966269374,2273.378142750822,1044.1451808977872,1445.7797741722316,2648.6001584380865,6226.162422418594,,,,,,
6318.115032151341,2117.0507771028206,907.3468749315944,1216.8567287921906,2266.159498497844,5297.143098473549,,,,,,
6621.172597434372,2186.1656906744465,834.0361832103226,985.040235279128,1927.002290055156,4618.833099067211,,,,,,
6592.248531833291,1751.558330824599,797.6331310975365,914.7973760939204,1690.841495282948,4179.016010403633,,,,,,
7642.791473388672,1895.618510307744,545.5181102045171,693.8858781470917,1493.896881043911,3795.371769964695,,,,,,
6768.411406189203,1818.4651587829,651.6257454545703,616.8367217974737,1290.928294800222,3421.3281027674675,,,,,,
7945.603335306048,1721.7512178954205,520.6482274425944,561.7248886586167,1116.0702535957098,3169.6238038539886,,,,,,
7068.766270041466,1016.6936739642406,376.9161889279712,446.8709166315384,1060.5766227487477,2886.494866967201,,,,,,
6760.072103653103,1677.3346117135952,655.4680572337384,420.0280934656039,853.6234464533627,2740.8321835398674,,,,,,
7989.096681501716,1516.6717970225727,464.9392219377514,382.0073078775313,828.078452244401,2557.052284836769,,,,,,
8052.974146451801,1377.440292318803,422.0015882002917,326.15263396906084,732.2580584157258,2387.838631182909,,,,,,
8803.834346655756,1266.995352128739,355.17261267099184,276.3150368115748,610.6858347468078,2204.895985275507,,,,,,
6941.387314006686,1347.0362616901402,415.9154196914087,312.2015713592409,582.9206553804688,2071.369032278657,,,,,,
7444.919309616089,2104.5421603167542,420.2947770050183,232.51006371330004,486.82846589712426,1925.9326842427247,,,,,,
7354.423629119992,1229.4137711567373,278.54934301149865,229.45572332391748,476.0127025533002,1815.933625742793,,,,,,
8676.243445932865,1393.0287369891482,522.2484360364251,163.4405822040717,392.2368708476424,1708.849093362689,,,,,,
6607.752330675721,1353.4727406132015,316.1876228401084,239.27616855682567,385.1179519589059,1639.869514063001,,,,,,
7951.775821611285,1087.1156737901,432.2191838228721,141.45797411590684,275.3884079144336,1557.718024544418,,,,,,
7833.031879276037,1439.205878365047,477.8518334650464,242.9847589606816,314.138874530443,1487.921762406826,,,,,,
9396.062456846235,2089.0151773010493,243.76050009057155,122.1178207334633,253.716655952856,1385.8818618878722,,,,,,
7339.724162317812,979.8555285061876,384.7251141305995,126.5678386071886,323.463781404309,1315.0079375952482,,,,,,
