lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05,"(0.003, 0, 0) C-7","(0.003, 0, 0) C-8","(0.003, 0, 0) C-9","(0.003, 0, 0) C-10","(0.003, 0, 0) C-11","(0.003, 0, 0) C-12"
,18953.57437479496,20554.49672305584,37357.55640602112,68183.70937919617,135030.58772277832,,,,,,
,3226.0712884813547,4311.700929224491,9660.195183515549,21015.765595436096,58244.01192474365,,,,,,
,2201.7017196789384,2969.291581124068,6480.177992582321,14001.311577796936,29806.442583084103,,,,,,
,1712.8011857420206,2250.6102454662323,5014.037544250488,10532.45796394348,25762.937099456787,,,,,,
,1317.1279937140644,1806.7944022417068,4157.899801313877,8404.878251314163,23224.43243408203,,,,,,
,1004.487309101969,1556.4178391844034,3546.1408513486385,7158.532000541687,20848.98216438293,,,,,,
,848.553592951037,1220.4072619453073,3034.40028271079,6290.275507569313,18581.9815235138,,,,,,
,694.4822665420361,1049.1649642847478,2724.5637677907944,5613.014353752136,16451.047410964966,,,,,,
,572.4932077773847,853.9830875620246,2412.657613694668,5100.968592882156,14655.378398895264,,,,,,
,458.5750004826696,825.8322231350467,2167.0298371315,4736.73279941082,13112.84258556366,,,,,,
,323.68407042790204,597.9470324413851,1977.1317394077776,4411.819143295288,11832.044790267944,,,,,,
,262.7303185944329,665.3287480645813,1758.9823080897331,4071.226778149605,10829.382991790771,,,,,,
,265.9294566794997,480.39972503483295,1625.5167861059308,3818.7755550444126,10002.728884220123,,,,,,
,245.49233257200103,392.9114005011506,1491.3959982693195,3596.32176309824,9271.072865962982,,,,,,
,148.35830862360308,285.7037519440055,1311.5462238490582,3411.2481265068054,8637.938436031342,,,,,,
,59.88559718202305,362.6428953660652,1213.9240830652416,3195.211861014366,8122.270648479462,,,,,,
,12.017194956310732,224.1538105021464,1097.136389484629,3045.763561576605,7671.605855464935,,,,,,
,25.782591974628303,123.635781037563,1009.0794507227838,2889.216146707535,7248.37161397934,,,,,,
,7.767849030598882,160.78753287473228,920.432919692248,2764.582670465112,6935.9386422634125,,,,,,
,6.460136229662567,198.27512035291875,877.4600979257375,2626.885266572237,6605.873971581459,,,,,,
,3.016623567113584,191.10132092336423,819.4592748489231,2484.2449332773685,6335.418931245804,,,,,,
,2.4222554122681856,150.46854198843357,683.6352491350845,2422.7005330324173,6043.0357756614685,,,,,,
,2.036359324915338,126.17227640160128,573.4529619533569,2294.591710090637,5821.017236113548,,,,,,
,1.7764773116550714,107.5414650542516,575.598715336062,2181.3075789809227,5619.474687099457,,,,,,
,1.592255171489228,45.41138147703168,522.9889322835952,2105.5201473087072,5433.901195049286,,,,,,
