"(0.01, 5, 0.9) C-1","(0.01, 5, 0.9) C-2","(0.01, 5, 0.9) C-3","(0.01, 5, 0.9) C-4","(0.01, 5, 0.9) C-5","(0.01, 5, 0.9) C-6","(0.01, 5, 0.9) C-7","(0.01, 5, 0.9) C-8","(0.01, 5, 0.9) C-9"
96066.5513458252,99380.25459289552,78182.0151977539,84654.4001159668,89290.15603637695,102407.82209777832,89938.32110595703,90393.6234588623,96010.89865112305
111325.06205749512,95576.46076965332,77463.04276275635,80876.08233642578,90008.24104309082,99421.78080749512,90378.98390197754,88923.03218078613,95582.52406311035
115165.55906677246,100104.42562866212,75982.53183746338,81148.06429290771,85765.18183898926,95964.16052246094,89296.39402770996,89177.25370788574,91668.2403717041
108934.39697265624,109444.10232543944,73010.06280517578,83875.68460083008,86422.43283081055,99075.79441833496,93357.28419494627,87139.19845581055,90275.84294128418
108881.3525390625,107012.18428039552,73728.19899749756,81222.25677490234,84197.71725463867,98343.90357971191,86913.5904083252,89586.54077148438,92257.46643066406
101306.46836853027,185757.0798797608,70834.47207641602,78378.8987121582,84937.06336975098,92570.7967376709,105658.89212036131,87428.62727355957,89649.23606872559
101793.36837768556,147040.30108642578,71181.38037109375,76931.95471954346,84353.85414123535,93016.96453857422,96979.11418151855,86115.79235839844,91309.98997497559
102665.04736328124,117456.82232666016,69140.90923309326,76676.64169311523,81527.21467590332,93061.42698669434,90513.25598144533,84589.02069091797,90398.5160369873
109780.53678894044,114641.33338928224,67218.00103759766,75147.63809204102,85152.06065368652,89279.05555725098,89002.76370239258,86272.5033416748,92340.8980255127
98647.74743652344,125305.62272644044,66686.30927276611,74814.18172454834,83053.7806854248,93326.53491210938,89314.98316955566,85537.80401611328,90561.86389160156
99399.9105834961,111429.52619934082,65698.7269897461,73232.06843566895,80627.67858886719,87417.19653320312,88573.52825927734,87211.03530883789,91845.40867614746
104715.43551635742,115052.66650390624,63896.664558410645,73349.0883026123,82834.46366882324,89915.6118774414,85940.89196777344,83346.99398803711,88140.697265625
102796.93103027344,109013.27227783205,62475.65157318115,70486.1410522461,81072.63258361816,87207.55673217773,85404.68397521973,82112.69929504395,88316.82556152344
121171.00526428224,108517.18301391602,60451.244789123535,68939.14057922363,82184.75485229492,87650.69082641602,87332.3327331543,80851.31748962402,86778.70443725586
112001.51997375488,127423.0436706543,60662.625648498535,67933.34106445312,81332.54837036133,88125.52087402344,87194.64137268066,80987.10696411133,84327.73466491699
129723.36457824708,124040.65643310548,59229.721588134766,71117.79292297363,79128.5805053711,85875.90664672852,85319.43998718262,91336.29084777832,84830.02046203613
101041.7141418457,114876.88566589355,70468.93352508545,66462.48278808594,79312.92025756836,87949.75617980957,84793.9045715332,80296.35592651367,84217.41299438477
99500.52935791016,108186.3038635254,61366.38134765625,65393.7154083252,78517.44380950928,87304.04751586914,87752.41009521484,81504.5915222168,83275.76133728027
98295.89407348631,110747.33207702637,59111.98235321045,63673.180099487305,77504.61125946045,83466.64512634277,83745.19692993164,79704.81246948242,82824.99577331543
96386.65171813963,127646.18411254884,57098.32551574707,61792.75131988525,77275.76649475098,84858.66682434082,83901.95323181152,80212.35276794434,84357.5106048584
95231.9938812256,109048.63121032716,57714.01650238037,62200.08214569092,76138.32413482666,85109.12948608398,84120.06541442871,78111.50021362305,85186.34826660156
97453.78727722168,108141.72340393066,54915.15563964844,60321.20677947998,75660.3159866333,82228.19384765625,82102.8645324707,77427.9867477417,84126.32521057129
112927.52247619627,126718.76683044434,54411.237716674805,59067.383125305176,72503.9951095581,82780.63633728027,81885.90145874023,80496.80116271973,81239.89266967773
107145.09437561037,108102.57876586914,55493.22385406494,58185.71900177002,70655.10235595703,83133.21168518066,80208.75068664551,77245.02334594727,79741.96600341797
95907.1553955078,108516.97485351562,55588.25545501709,55347.074546813965,70934.69763946533,82522.67593383789,82844.15866088867,76175.7738571167,84802.54118347168
94219.22164916992,109352.46319580078,53476.4693145752,54819.17458343506,69480.93991088867,82219.1202545166,85151.8695678711,76874.78198242188,84112.38539123535
92667.63262939452,106135.43992614746,51710.39907836914,53143.04888916016,69779.09962463379,79969.41278076172,81262.81248474121,74325.03407287598,83200.33023071289
101974.87145996094,133889.39125061035,50095.32455444336,48172.508613586426,69334.7991104126,79007.07949066162,80442.08766174316,72722.66606140137,80546.93643188477
95922.06100463869,116287.29954528809,50009.40595245361,43286.45680618286,68299.31218719482,81760.79054260254,83148.82542419434,73751.21007537842,79316.72158813477
99265.02244567873,115605.88822937012,49024.31114196777,39259.742168426514,66830.57000732422,79266.5687866211,78895.7585144043,70922.2553024292,83203.55867004395
94821.60952758788,109362.53120422363,48052.19412994385,60941.36892700195,66855.7664642334,76730.7484588623,78378.5625,70432.5601348877,78521.94975280762
93599.4249267578,119596.67768859863,48396.93800354004,45456.591720581055,65898.55247497559,78518.2305984497,79036.52597045898,70415.6646118164,80016.80252075195
93329.16622924805,124553.41946411131,46545.43620300293,36128.70896148682,63441.62464904785,77724.16842651367,76760.52279663086,69805.7993850708,89354.82109069824
