SGD,Adam,OGDA,ExtraAdam,ExtraSGD,Lookahead-SGD,Lookahead-Adam,Lookahead-OGDA,Lookahead-ExtraSGD,Lookahead-ExtraAdam
38664.00072097778,51647.87627410889,70306.3988494873,,99327.14918518066,51528.0828704834,48997.54493713379,78722.1887588501,103292.57911682127,
38481.54867935181,51328.57536315918,70204.93737792969,,99326.700881958,51385.34084320068,48678.80235671997,78606.18074035645,103284.84526062012,
38534.777362823486,50975.06035614014,70156.682472229,,99345.58697509766,51231.61080169678,48683.55121612549,78483.37884521484,103287.7990875244,
38252.200271606445,50627.75656890869,70067.28856658936,,99314.08616638184,50909.23881530762,48422.61922454834,78445.53321838379,103268.09169006348,
37939.754581451416,50695.39951324463,69985.9783706665,,99314.76901245116,50937.457527160645,48447.39077758789,78496.08955383301,103273.30154418944,
38041.641540527344,50713.62453460693,69942.9662475586,,99339.29393005373,50903.11269378662,48302.05951690674,78300.91967773438,103273.03861999512,
37451.6481590271,50231.78177642822,69717.66893005371,,99268.63583374023,50679.10541534424,48024.38619232178,78283.61236572266,103269.00212097168,
37353.84090042114,50247.30644989014,69794.58449554443,,99248.06376647948,50377.071464538574,48023.66956329346,78155.98001098633,103266.2386932373,
37324.839458465576,50143.03486633301,69566.72512054443,,99255.75073242188,50335.13365936279,47898.87913131714,78166.77619171143,103258.00685119627,
37241.06453704834,49999.12116241455,69559.5718383789,,99294.27668762208,50040.54991149902,47803.95860290527,77979.93940734863,103237.94395446776,
36826.05539703369,49611.30992126465,69363.67755889893,,99272.48193359376,49932.87882232666,47761.65252685547,77895.18466186523,103243.01174926758,
