SGD,Lookahead-SGD,Adam,Lookahead-Adam
115694.11714935304,142386.45275878906,51112.09362411499,49258.099401474
41610.60470199585,60639.02005004883,32103.539197921757,29784.115716934204
32001.343547821045,42764.52326965332,28562.07432365417,27298.418952941895
28850.776903152462,34516.554889678955,27070.56166267395,25645.09790802002
26095.765283584595,30807.53896141052,26338.28747749329,25039.370361328125
25704.176528930664,28614.4275341034,25585.99538230896,24182.118745803833
24870.92314720153,27593.353734970093,24474.70001411438,23403.85090637207
23537.240465164185,26106.17367362976,24124.367023468018,22923.378682136536
23255.151695251465,25654.688364982605,23188.68465614319,22778.29501724243
22442.71961402893,24660.80683708191,23227.45475959778,22201.315455436707
