SGD,Adam
124054.88358306883,50136.55234146118
42304.31161880493,31781.33699798584
32540.55304336548,29165.14912223816
28893.22665786743,27336.4063873291
27085.00752449036,26061.44842338562
26047.72956085205,25462.182516098022
25202.054733276367,24652.9798412323
24166.619380950928,24384.251673698425
23581.124382019043,23291.10880470276
22838.365613937374,22892.126074790955
