SGD,Adam,OGDA,ExtraAdam,ExtraSGD,Lookahead-SGD,Lookahead-Adam,Lookahead-OGDA,Lookahead-ExtraSGD,Lookahead-ExtraAdam
661.0867367088795,3204.897588253021,51396.46457672119,1878.9848017692568,95640.20266723631,4523.05694770813,15148.790546417236,64751.32692718506,102762.47846984863,25591.73267173767
582.5556353330612,2915.6247166395187,51213.32720184326,1844.8224388360973,95632.68501281738,4218.6618938446045,14884.16789150238,64618.65859985352,102751.57861328124,25561.360946655273
519.5917090028524,2659.533410310745,51093.67472076416,1810.727470040321,95625.6872253418,3941.4726412296295,14674.148211479189,64529.04390716553,102740.55288696288,25529.925788879395
469.3270334750414,2410.286283493042,50942.73086547852,1779.0567914247513,95618.66481018066,3696.309634447098,14419.012610435486,64388.70408630371,102729.5498046875,25489.661365509033
427.9292627573013,2183.496189713478,50787.93172454834,1747.036410331726,95610.93490600586,3476.253316402436,14176.928181648254,64301.61045074463,102718.74336242676,25464.304496765137
393.1668962538242,1974.9575402140613,50635.29880523682,1715.8577542304993,95603.96388244627,3276.2452478408813,13987.33707332611,64189.3360748291,102707.73959350586,25426.122983932495
363.81693732738495,1765.2657488584518,50514.9875869751,1682.7825269699097,95596.06651306152,3080.390618801117,13781.227454185486,64091.72715759277,102697.0718536377,25398.331523895264
338.3125484883785,1593.590990304947,50379.49343109131,1654.9599199295044,95588.42556762695,2910.131114959717,13564.712054252625,63969.66218566895,102686.16679382324,25362.586782455444
316.0133063942194,1423.6807776093483,50231.81455993652,1623.6723486185074,95581.21667480467,2749.259845972061,13349.391310691832,63871.93704223633,102675.54182434082,25327.314950942993
296.116128385067,1277.8428062796593,50082.23296356201,1595.3654844760897,95574.02745056152,2602.146296977997,13144.124457359314,63774.26951599121,102664.98551940918,25300.277759552002
279.2425456792116,1140.763396680355,49970.46226501465,1563.6206251382828,95566.48921203612,2458.931886911392,12953.90781879425,63669.425857543945,102654.4351348877,25268.958868026733
263.9480620473623,1014.9799319505692,49818.65437316895,1536.1296627521515,95558.9663848877,2334.8016130924225,12793.173816680908,63575.95690155029,102643.84461975098,25243.6036567688
250.1676464527845,901.5312249064444,49690.93822479248,1507.0776747465134,95551.41885375977,2214.5971561670303,12566.992426872252,63475.6979598999,102633.35580444336,25209.509101867676
238.14481329917908,807.1684828400612,49579.36854553223,1482.1432628631592,95544.08851623537,2109.673756122589,12382.59462928772,63375.80490112305,102623.08392333984,25180.190097808838
226.7908585220576,710.9111504554749,49433.73352050781,1452.2296305894852,95536.81039428712,2001.4464472532272,12189.919056892397,63284.51383972168,102612.6160583496,25142.859609603882
216.5786764323712,628.7444567978382,49296.19151306152,1427.425405740738,95529.34478759766,1901.5136783123016,12011.44900417328,63168.20738220215,102602.18663024902,25115.540674209595
207.11536039412024,556.2947704792023,49172.18022918701,1401.7729442119598,95521.7240600586,1817.3344503641129,11844.63089942932,63090.95137023926,102591.76683044434,25082.02109527588
198.67512959241867,490.0641941577196,49045.258949279785,1375.9392146468165,95514.3402709961,1729.6193661689758,11650.599541664124,62981.33435821533,102581.5980834961,25053.971433639526
190.83747124671936,425.432451993227,48933.56349182129,1348.9250853657722,95506.7908782959,1653.4744355678558,11491.690143585203,62889.76392364502,102571.58651733398,25026.485193252563
183.69723519682884,389.7089338600636,48784.91613006592,1322.8846689462662,95499.20127868652,1577.074292063713,11298.12360572815,62802.99433898926,102561.34480285645,24992.39796066284
