SGD,Adam,OGDA,ExtraAdam,ExtraSGD,Lookahead-SGD,Lookahead-Adam,Lookahead-OGDA,Lookahead-ExtraSGD,Lookahead-ExtraAdam
66822.0196762085,49876.99126052856,84473.97959136963,44578.18505096436,115678.33277893066,71302.18140411377,52548.40312957764,93164.64709472656,127554.75268554688,63972.246322631836
64242.76958465576,48994.80890274048,83221.60865783691,41867.0852470398,114751.83168029784,62378.29396057129,50960.97825622559,91834.98236083984,126690.1671447754,59422.788246154785
69295.44304656982,47775.433238983154,82080.2193145752,40807.12922668457,114781.9851989746,61675.600646972656,49548.74425125122,90785.20632171632,126380.82374572754,58775.77958679199
62021.00354766846,47225.10041427612,81198.14735412598,40355.6372756958,114703.16955566406,63489.024017333984,48645.90300750733,90017.41137695312,126279.45350646973,58559.144454956055
61904.51564025879,46767.16383361816,79801.55935668945,40075.4308052063,114407.7045135498,58895.95199584961,47605.44911956787,89155.14449310303,126181.87301635742,58206.78426361084
61707.19502258301,46146.16193771362,78830.0182723999,39761.87311172485,114451.89836120604,56467.89450836182,46821.7957611084,88439.51616668701,125912.92793273926,58035.19129180908
59361.33512115479,45640.07753753662,78086.6876449585,39622.71863937378,114148.21325683594,62190.80667114258,45789.81086349487,87876.15132141113,125835.5880279541,57665.98539733887
60612.66093444824,45046.71594238281,76933.69556427002,39281.66138458252,113964.31358337402,62563.20853424072,45218.09426498413,86979.61869812012,125585.96658325195,57467.38040161133
58474.05335235596,44649.96854019165,75829.77908325195,39110.85531997681,113890.06198120116,59230.30931854248,44625.90864944458,86101.64904785156,125510.24365234376,57211.81351470947
60011.79551696777,44063.013847351074,74916.16148376465,38920.58003616333,113488.15756225586,56765.60352706909,44308.81554031372,85549.81671905518,125362.16899108888,57052.58646392822
61678.97679901123,44063.640937805176,74159.31050872803,38833.9158744812,113353.81564331056,56640.31980895996,43627.543491363525,84873.555519104,125152.27220153809,56787.47741699219
75004.95310211182,43553.11082077026,73307.67735290527,38796.29399871826,113225.03384399414,59327.66626739502,43083.26336669922,84629.33637237549,125005.79290771484,56680.04529571533
60942.04061889648,43446.33158111572,72651.87159729004,38700.98115158081,113014.13624572754,58454.87084197998,42814.70215988159,83867.23793792725,124845.4786529541,56396.992515563965
51507.55025863648,40237.13776016235,70357.41777801514,,113031.75994873048,53156.20322418213,39700.46712112427,81670.58464050293,124734.1013031006,
50426.15061569214,39291.91686630249,70124.44624328613,,112988.08799743652,49656.42938995361,39033.04802322388,81727.4712524414,124702.33010864258,
49889.29086303711,39086.61084365845,70073.06800842285,,112934.28764343262,49203.53928375244,38771.86540603638,81540.84938049316,124697.45097351074,
49447.04998779297,38895.46770477295,70026.90613555908,,112912.81425476074,49086.92768096924,38627.690563201904,81476.03754425049,124652.39236450195,
49246.57299804688,38698.90975189209,69882.129737854,,112907.37713623048,48692.77381515503,38643.77757644653,81376.98594665527,124647.53143310548,
49082.98668670654,38817.35671234131,69791.75173187256,,112866.562210083,48579.42975616455,38633.21279144287,81344.84819793701,124631.16911315918,
48794.86422729492,38607.93270492554,69723.14141845703,,112818.86869812012,48380.68224334717,38435.80584716797,81299.89223480225,124633.31344604492,
48451.9564819336,38413.680725097656,69691.04034423828,,112837.2753753662,48223.04286575317,38274.96887969971,81189.28659057617,124605.54393005373,
48136.71840286255,38452.2220993042,69457.24181365967,,112799.09501647948,48096.071155548096,38217.004680633545,81127.40728759766,124594.0051574707,
48175.78706359863,38351.96922302246,69512.26039123535,,112817.69165039062,47814.34059524536,38167.55609512329,80957.68394470215,124559.15449523926,
48007.490131378174,38344.037784576416,69297.8243560791,,112766.03186035156,47625.83913040161,38145.51536941528,80923.48413848877,124538.2028503418,
47709.16342163086,38166.54568862915,69328.77406311035,,112741.8950805664,47662.492012023926,37992.21147537232,80799.16753387451,124514.15641784668,
47453.3267250061,38047.76943969727,69192.3549041748,,112708.58462524414,47471.60496902466,37994.933937072754,80898.2506942749,124505.0736541748,
47549.9960975647,38103.02800750733,69152.55324554443,,112716.92749023438,47374.8236579895,37817.09283828735,80703.90533447266,124496.72206115724,
47341.33264541626,37961.19641876221,69072.0920791626,,112705.032913208,47268.36877441406,37836.99923324585,80700.81352233887,124485.76615905762,
46881.1566734314,37858.78094100952,69007.73390197754,,112666.6496887207,47100.68589401245,37702.42798233032,80753.90045166016,124462.55166625977,
46921.53216171265,37855.981983184814,68915.41625976562,,112649.7458343506,46975.77666854858,37689.57257461548,80671.2746887207,124441.81352233888,
46629.40258407593,37919.19733047485,68890.88914489746,,112651.69410705566,46811.01564788818,37506.93797683716,80506.25316619873,124430.44749450684,
46749.49210357666,37734.63798904419,68690.51458740234,,112622.9285583496,46643.33668899536,37553.04160690308,80435.19304656982,124410.73147583008,
46608.17530822754,37653.80754852295,68704.66091156006,,112603.58486938477,46664.61651992798,37381.7378578186,80514.09465026855,124409.72021484376,
46621.61619949341,37523.05504989624,68521.40907287598,,112545.16246032716,46519.02816390991,37431.55555343628,80377.57094573975,124367.8901977539,
46782.56982040405,37597.64940261841,68468.73461151123,,112578.54809570312,46593.13558959961,37325.42176437378,80309.63108062744,124373.89813232422,
46683.33613586426,37504.43916320801,68429.9923324585,,112528.67950439452,46349.290046691895,37398.63080215454,80296.48285675049,124365.14860534668,
46681.35889434815,37431.43053817749,68406.18767547607,,112494.7561340332,46182.69612503052,37263.56760787964,80113.54825592041,124339.08378601074,
46446.91789627075,37214.50855636597,68287.78880310059,,112473.9279937744,46209.11572265625,37147.40436553955,80105.60429382324,124316.75987243652,
