Mean,Std
0.24853333333333336,0.019594188480828244
0.26653333333333334,0.01953848055049886
0.2796166666666667,0.02698644206922349
0.28171666666666667,0.024050531294662825
0.28535,0.017855788043843555
0.29638333333333333,0.02321116230514008
0.29665,0.015248251265855595
0.3001833333333333,0.02453293138257682
0.29675,0.020044180369041452
0.2986333333333333,0.018884796942396687
0.29991666666666666,0.01625847642171786
0.3088166666666667,0.018533880387609662
0.3051333333333333,0.020402995422785904
0.29888333333333333,0.022729453481233446
0.30568333333333336,0.016886031373758464
0.3053333333333333,0.02507154207906292
0.3076666666666667,0.024882970526491063
0.30824999999999997,0.022316716455010443
0.30656666666666665,0.020390166475261762
0.31275000000000003,0.02017909396710698
0.3063166666666666,0.016352514247730304
0.3001833333333333,0.021474513317470596
0.30821666666666664,0.016791308929191777
0.30238333333333334,0.01844915686119256
0.3043833333333333,0.022494030072196684
